"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2021","412.83","416.35","416.35","412.70","146.60M","-1.00%"
"08/17/2021","417.02","415.19","417.10","413.77","141.68M","-0.01%"
"08/16/2021","417.06","416.82","418.95","416.12","115.74M","-0.07%"
"08/13/2021","417.35","415.98","417.41","414.59","115.25M","0.60%"
"08/12/2021","414.88","414.79","414.99","412.95","161.32M","0.29%"
"08/11/2021","413.66","412.89","414.07","411.46","128.17M","0.59%"
"08/10/2021","411.22","416.12","416.12","410.98","137.07M","-1.07%"
"08/09/2021","415.67","417.03","417.12","414.96","122.47M","-0.49%"
"08/06/2021","417.73","418.96","420.44","417.03","139.99M","-0.29%"
"08/05/2021","418.95","416.89","419.00","415.33","135.11M","1.03%"
"08/04/2021","414.66","415.89","417.68","413.21","161.39M","-0.38%"
"08/03/2021","416.25","416.46","417.16","413.61","172.54M","0.17%"
"08/02/2021","415.54","418.06","421.15","415.06","135.39M","-0.18%"
"07/30/2021","416.28","416.15","421.30","416.15","165.10M","0.24%"
"07/29/2021","415.30","416.40","419.40","415.04","135.55M","-0.04%"
"07/28/2021","415.47","416.92","417.64","414.08","140.89M","-0.49%"
"07/27/2021","417.52","414.25","417.91","412.83","136.73M","0.71%"
"07/26/2021","414.56","413.78","415.57","411.81","122.68M","-0.07%"
"07/23/2021","414.84","412.42","415.29","411.47","109.23M","0.91%"
"07/22/2021","411.09","412.15","412.15","409.26","130.20M","-0.74%"
"07/21/2021","414.15","415.29","416.86","413.61","135.66M","-0.14%"
"07/20/2021","414.72","407.88","416.29","407.57","176.80M","2.19%"
"07/19/2021","405.83","409.59","409.59","402.84","208.22M","-1.74%"
"07/16/2021","413.00","413.98","415.76","412.63","139.43M","0.09%"
"07/15/2021","412.61","411.64","413.18","411.06","148.12M","0.22%"
"07/14/2021","411.69","408.32","412.90","408.06","147.03M","0.78%"
"07/13/2021","408.51","413.13","413.51","407.51","161.69M","-1.45%"
"07/12/2021","414.50","411.22","415.00","410.62","126.98M","0.78%"
"07/09/2021","411.29","406.91","411.46","406.10","149.12M","1.54%"
"07/08/2021","405.07","403.28","406.48","401.99","173.03M","-0.22%"
"07/07/2021","405.95","404.02","407.41","402.50","171.87M","0.40%"
"07/06/2021","404.32","401.11","404.81","398.23","189.40M","0.84%"
"07/02/2021","400.96","400.45","402.44","399.33","136.74M","0.43%"
"07/01/2021","399.26","397.63","402.36","396.73","171.30M","0.32%"
"06/30/2021","397.98","400.61","402.46","397.58","172.90M","-0.66%"
"06/29/2021","400.63","401.56","403.78","400.34","151.26M","-0.43%"
"06/28/2021","402.36","404.27","404.35","399.44","176.33M","-0.30%"
"06/25/2021","403.59","400.56","403.70","400.12","252.60M","0.76%"
"06/24/2021","400.53","402.95","403.07","398.86","143.32M","-0.33%"
"06/23/2021","401.85","402.80","403.99","401.69","153.66M","-0.32%"
"06/22/2021","403.14","404.99","405.24","402.91","149.34M","-0.47%"
"06/21/2021","405.04","398.58","405.98","397.44","150.84M","2.03%"
"06/18/2021","396.98","401.90","403.14","396.91","301.94M","-1.60%"
"06/17/2021","403.43","402.12","403.86","400.70","174.57M","0.12%"
"06/16/2021","402.96","407.10","408.85","402.83","155.54M","-0.84%"
"06/15/2021","406.39","410.41","410.48","406.38","141.24M","-1.10%"
"06/14/2021","410.91","409.50","410.91","408.62","136.21M","0.34%"
"06/11/2021","409.53","410.88","410.88","407.64","160.09M","-0.51%"
"06/10/2021","411.63","408.25","412.63","407.31","139.28M","0.85%"
"06/09/2021","408.15","409.02","409.82","407.90","139.07M","0.19%"
"06/08/2021","407.37","405.52","408.41","405.47","164.43M","0.64%"
"06/07/2021","404.77","402.23","406.24","401.82","150.04M","0.93%"
"06/04/2021","401.06","402.13","402.19","399.14","140.64M","0.08%"
"06/03/2021","400.74","401.06","401.19","398.73","146.32M","-0.30%"
"06/02/2021","401.93","398.66","402.24","397.09","161.49M","1.17%"
"06/01/2021","397.28","392.48","397.32","391.43","152.80M","1.64%"
"05/28/2021","390.87","390.28","392.03","389.60","131.56M","0.71%"
"05/27/2021","388.10","390.20","390.30","387.70","223.40M","-0.36%"
"05/26/2021","389.49","389.31","391.59","388.03","129.15M","0.26%"
"05/25/2021","388.48","388.31","389.84","386.48","136.23M","0.15%"
"05/24/2021","387.90","385.56","389.50","385.19","132.38M","1.09%"
"05/21/2021","383.71","384.24","385.73","382.87","137.23M","-0.15%"
"05/20/2021","384.28","379.62","385.27","378.96","130.67M","1.23%"
"05/19/2021","379.60","377.92","379.62","374.40","148.71M","-0.29%"
"05/18/2021","380.71","379.80","382.78","377.90","139.01M","0.16%"
"05/17/2021","380.11","379.72","380.92","378.56","122.12M","0.04%"
"05/14/2021","379.94","377.53","381.02","377.04","122.30M","1.06%"
"05/13/2021","375.95","372.12","378.18","372.05","157.59M","1.21%"
"05/12/2021","371.46","379.67","380.30","371.04","173.35M","-2.45%"
"05/11/2021","380.80","382.04","382.04","377.72","158.88M","-1.12%"
"05/10/2021","385.12","386.31","389.37","385.09","143.41M","0.11%"
"05/07/2021","384.68","379.77","384.90","379.63","137.94M","1.27%"
"05/06/2021","379.84","378.07","380.23","376.75","152.56M","0.54%"
